date;swieto
2018-05-01;Labor Day / May Day
2018-05-03;Constitution Day
2018-05-20;Whit Sunday
2018-05-31;Corpus Christi
2018-08-15;Assumption of Mary
2018-11-01;All Saints' Day
2018-11-11;Independence Day
2018-11-12;Independence Day Holiday
2018-12-25;Christmas Day
2018-12-26;Second Day of Christmas
2019-01-01;New Year's Day
2019-01-06;Epiphany
2019-04-21;Easter Sunday
2019-04-22;Easter Monday
2019-05-01;Labor Day / May Day
2019-05-03;Constitution Day
2019-06-09;Whit Sunday
2019-06-20;Corpus Christi
2019-08-15;Assumption of Mary
2019-11-01;All Saints' Day
2019-11-11;Independence Day
2019-12-25;Christmas Day
2019-12-26;Second Day of Christmas
2020-01-01;New Year's Day
2020-01-06;Epiphany
2020-04-12;Easter Sunday
2020-04-13;Easter Monday
2020-05-01;Labor Day / May Day
2020-05-03;Constitution Day
2020-05-31;Whit Sunday
2020-06-11;Corpus Christi
2020-08-15;Assumption of Mary
2020-11-01;All Saints' Day
2020-11-11;Independence Day
2020-12-25;Christmas Day
2020-12-26;Second Day of Christmas
2021-01-01;New Year's Day
2021-01-06;Epiphany
2021-04-04;Easter Sunday
2021-04-05;Easter Monday
2021-05-01;Labor Day / May Day
2021-05-03;Constitution Day
2021-05-23;Whit Sunday
2021-06-03;Corpus Christi
2021-08-15;Assumption of Mary
2021-11-01;All Saints' Day
2021-11-11;Independence Day
2021-12-25;Christmas Day
2021-12-26;Second Day of Christmas
2022-01-01;New Year's Day
2022-01-06;Epiphany
2022-04-17;Easter Sunday
2022-04-18;Easter Monday
2022-05-01;Labor Day / May Day
2022-05-03;Constitution Day
2022-06-05;Whit Sunday
2022-06-16;Corpus Christi
2022-08-15;Assumption of Mary
2022-11-01;All Saints' Day
2022-11-11;Independence Day
2022-12-25;Christmas Day
2022-12-26;Second Day of Christmas
